step	dice_multi
0	0.49485386337384396
1	0.49485386337384396
2	0.8880894237115755
3	0.9114702858411987
4	0.9063031473551992
5	0.9220946812754978
6	0.9216572207947866
7	0.9258454451579252
8	0.9260959435172123
